Sample Count,1

Sample No.,1
Date & Time ,2026-06-09 14:38:58
Vopen (V) ,0.417
Ishort (A) ,0.014
Vmaxp (V),0.357
Imaxp (A),0.013
Pmax (W),0.004
V (V),I (A),P (W)
0.417,0,0
0.416,0,0
0.416,0.0002,0.0000832
0.417,0.0002,0.0000834
0.416,0.0004,0.0001664
0.416,0.0004,0.0001664
0.417,0.0006,0.0002502
0.416,0.0006,0.0002496
0.416,0.0008,0.0003328
0.416,0.0008,0.0003328
0.417,0.001,0.000417
0.417,0.001,0.000417
0.416,0.0012,0.0004992
0.416,0.0012,0.0004992
0.416,0.0014,0.0005824
0.416,0.0014,0.0005824
0.416,0.0014,0.0005824
0.416,0.0016,0.0006656
0.417,0.0016,0.0006672
0.417,0.0018,0.0007506
0.417,0.0018,0.0007506
0.417,0.002,0.000834
0.416,0.002,0.000832
0.416,0.0022,0.0009152
0.416,0.0022,0.0009152
0.416,0.0024,0.0009984
0.416,0.0024,0.0009984
0.417,0.0026,0.0010842
0.417,0.0026,0.0010842
0.416,0.0028,0.0011648
0.416,0.0028,0.0011648
0.417,0.0028,0.0011676
0.417,0.003,0.001251
0.416,0.003,0.001248
0.416,0.0032,0.0013312
0.417,0.0032,0.0013344
0.416,0.0034,0.0014144
0.417,0.0034,0.0014178
0.416,0.0036,0.0014976
0.417,0.0036,0.0015012
0.416,0.0038,0.0015808
0.417,0.0038,0.0015846
0.416,0.004,0.001664
0.417,0.004,0.001668
0.416,0.0042,0.0017472
0.416,0.0042,0.0017472
0.417,0.0042,0.0017514
0.416,0.0044,0.0018304
0.416,0.0044,0.0018304
0.417,0.0046,0.0019182
0.417,0.0046,0.0019182
0.416,0.0048,0.0019968
0.416,0.0048,0.0019968
0.416,0.005,0.00208
0.417,0.005,0.002085
0.417,0.0052,0.0021684
0.417,0.0052,0.0021684
0.414,0.0054,0.0022356
0.414,0.0054,0.0022356
0.414,0.0056,0.0023184
0.414,0.0056,0.0023184
0.413,0.0056,0.0023128
0.413,0.0058,0.0023954
0.412,0.0058,0.0023896
0.412,0.006,0.002472
0.411,0.006,0.002466
0.411,0.0062,0.0025482
0.41,0.0062,0.002542
0.41,0.0064,0.002624
0.41,0.0064,0.002624
0.409,0.0066,0.0026994
0.408,0.0066,0.0026928
0.408,0.0068,0.0027744
0.408,0.0068,0.0027744
0.407,0.007,0.002849
0.407,0.007,0.002849
0.406,0.007,0.002842
0.406,0.0072,0.0029232
0.406,0.0072,0.0029232
0.405,0.0074,0.002997
0.404,0.0074,0.0029896
0.404,0.0076,0.0030704
0.403,0.0076,0.0030628
0.403,0.0078,0.0031434
0.402,0.0078,0.0031356
0.402,0.008,0.003216
0.401,0.008,0.003208
0.4,0.0082,0.00328
0.4,0.0082,0.00328
0.4,0.0084,0.00336
0.4,0.0084,0.00336
0.399,0.0084,0.0033516
0.398,0.0086,0.0034228
0.398,0.0086,0.0034228
0.398,0.0088,0.0035024
0.397,0.0088,0.0034936
0.396,0.009,0.003564
0.395,0.009,0.003555
0.394,0.0092,0.0036248
0.394,0.0092,0.0036248
0.393,0.0094,0.0036942
0.393,0.0094,0.0036942
0.392,0.0096,0.0037632
0.392,0.0096,0.0037632
0.391,0.0098,0.0038318
0.391,0.0098,0.0038318
0.39,0.0098,0.003822
0.39,0.01,0.0039
0.389,0.01,0.00389
0.389,0.0102,0.0039678
0.388,0.0102,0.0039576
0.387,0.0104,0.0040248
0.387,0.0104,0.0040248
0.386,0.0106,0.0040916
0.385,0.0106,0.004081
0.385,0.0108,0.004158
0.383,0.0108,0.0041364
0.382,0.011,0.004202
0.382,0.011,0.004202
0.381,0.0112,0.0042672
0.381,0.0112,0.0042672
0.38,0.0112,0.004256
0.38,0.0114,0.004332
0.379,0.0114,0.0043206
0.378,0.0116,0.0043848
0.378,0.0116,0.0043848
0.377,0.0118,0.0044486
0.375,0.0118,0.004425
0.375,0.012,0.0045
0.374,0.012,0.004488
0.373,0.0122,0.0045506
0.372,0.0122,0.0045384
0.372,0.0124,0.0046128
0.371,0.0124,0.0046004
0.37,0.0126,0.004662
0.37,0.0126,0.004662
0.369,0.0126,0.0046494
0.368,0.0128,0.0047104
0.367,0.0128,0.0046976
0.366,0.013,0.004758
0.365,0.013,0.004745
0.364,0.0132,0.0048048
0.363,0.0132,0.0047916
0.362,0.0134,0.0048508
0.362,0.0134,0.0048508
0.36,0.0136,0.004896
0.359,0.0136,0.0048824
0.358,0.0138,0.0049404
0.357,0.0138,0.0049266
0,0.014,0

